"","rank","name","age","country","source","industry","2022","2021","2020","2019","2018","2017","2016","2015"
"1996",1929,"Jin Xin ",55,"China","manufacturing","Manufacturing ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"1997",1929,"Conni Jonsson ",61,"Sweden","asset management","Finance & Investments ","$1.5 B","$1.3 B",NA,NA,NA,NA,NA,NA
"1998",1929,"Jenny Just ",54,"United States","fintech","Finance & Investments ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"1999",1929,"Ke Xiping & family ",61,"China","investments","Diversified ","$1.5 B","$1.5 B","$1.3 B",NA,NA,NA,NA,NA
"2000",1929,"Ke Zunhong & family ",67,"China","pharmaceuticals","Healthcare ","$1.5 B","$3.2 B","$2.7 B",NA,NA,NA,NA,NA
"2001",1929,"Sidney Kimmel ",94,"United States","retail","Fashion & Retail ","$1.5 B","$1.4 B","$1.3 B",NA,"$1.3 B","$1.30 B","$1.30 B","$1.30 B"
"2002",1929,"Seth Klarman ",64,"United States","investments","Finance & Investments ","$1.5 B","$1.5 B","$1.5 B",NA,"$1.5 B","$1.50 B","$1.30 B","$1.50 B"
"2003",1929,"Mustafa Rahmi Koc ",91,"Turkey","diversified","Diversified ","$1.5 B","$2.3 B","$1.5 B",NA,"$2.5 B","$2.20 B","$2.00 B","$2.50 B"
"2004",1929,"Pyotr Kondrashev ",72,"Russia","investments","Manufacturing ","$1.5 B","$1.5 B","$1.4 B",NA,"$1.4 B","$1.40 B","$1.40 B","$1.40 B"
"2005",1929,"Kong Jian Min ",54,"China","real estate","Real Estate ","$1.5 B","$3.7 B","$2.1 B",NA,"$2.2 B","$1.10 B",NA,NA
"2006",1929,"Hemendra Kothari ",75,"India","financial services","Finance & Investments ","$1.5 B","$1.3 B","$1.2 B",NA,"$1.2 B",NA,NA,NA
"2007",1929,"Eduard Kucera ",69,"Czechia","software","Technology ","$1.5 B","$1.1 B",NA,NA,NA,NA,NA,NA
"2008",1929,"Christopher Kwok ",36,"Hong Kong","real estate","Real Estate ","$1.5 B","$1.9 B","$1.5 B",NA,NA,NA,NA,NA
"2009",1929,"Edward Kwok ",41,"Hong Kong","real estate","Real Estate ","$1.5 B","$1.9 B","$1.5 B",NA,NA,NA,NA,NA
"2010",1929,"Joe Lacob ",66,"United States","Golden State Warriors","Sports ","$1.5 B","$1.2 B","$1.2 B",NA,NA,NA,NA,NA
"2011",1929,"Lai Jianfa ",52,"China","express delivery","Logistics ","$1.5 B","$2.3 B","$1.7 B",NA,NA,NA,NA,NA
"2012",1929,"Manuel Lao Hernández ",77,"Spain","casinos","Gambling & Casinos ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2013",1929,"Lee Joon-ho ",57,"South Korea","online games","Technology ","$1.5 B","$1.7 B","$1 B",NA,"$1.1 B",NA,NA,NA
"2014",1929,"Manfredi Lefebvre d'Ovidio & family ",68,"Italy","cruises","Service ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2015",1929,"Li Jinyang ",64,"China","mining","Metals & Mining ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2016",1929,"Li Ming ",64,"China","investments","Finance & Investments ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2017",1929,"Zhen Li & family ",58,"China","lithium batteries","Manufacturing ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2018",1929,"Rongfu Lu ",51,"China","telecommunication","Telecom ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2019",1929,"Rafique Malik ",71,"India","footwear","Fashion & Retail ","$1.5 B","$1 B",NA,NA,NA,NA,NA,NA
"2020",1929,"Youssef Mansour ",76,"Egypt","diversified","Diversified ","$1.5 B","$1.5 B","$1.9 B",NA,"$1.4 B","$1.10 B","$1.70 B","$2.90 B"
"2021",1929,"Mao Lixiang & family ",81,"China","cooking appliances","Technology ","$1.5 B","$1.6 B","$2.2 B",NA,NA,NA,NA,NA
"2022",1929,"David McMurtry ",81,"United Kingdom","manufacturing","Manufacturing ","$1.5 B","$2.2 B",NA,NA,"$1.7 B","$1.00 B",NA,"$1.00 B"
"2023",1929,"Meng Qingshan & family ",73,"China","chemicals","Manufacturing ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2024",1929,"Alan Miller & family ",84,"United States","healthcare services","Healthcare ","$1.5 B","$1.3 B",NA,NA,NA,NA,NA,NA
"2025",1929,"Greg Mondre ",47,"United States","private equity","Finance & Investments ","$1.5 B","$1.3 B","$1.2 B",NA,NA,NA,NA,NA
"2026",1929,"Massimo Moratti ",76,"Italy","oil refinery","Energy ","$1.5 B","$1.6 B","$1.4 B",NA,"$1.7 B","$1.50 B","$1.40 B","$1.30 B"
"2027",1929,"Robert Mouawad ",77,"Lebanon","fine jewelry","Service ","$1.5 B","$1.4 B","$1.5 B",NA,"$1.6 B","$1.60 B","$1.50 B","$1.50 B"
"2028",1929,"Ezra Nahmad ",76,"Monaco","art","Finance & Investments ","$1.5 B","$1.5 B","$1.5 B",NA,"$1.5 B","$1.50 B","$1.50 B","$1.50 B"
"2029",1929,"Tadako Nakatani ",64,"Japan","medical diagnostic equipment","Healthcare ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2030",1929,"Kentaro Ogawa ",73,"Japan","restaurants","Food & Beverage ","$1.5 B","$1.6 B",NA,NA,"$1.2 B","$1.00 B",NA,NA
"2031",1929,"Jonathan Oringer ",47,"United States","stock photos","Technology ","$1.5 B","$1.4 B",NA,NA,NA,"$1.00 B",NA,"$1.00 B"
"2032",1929,"Niti Osathanugrah ",48,"Thailand","energy drinks,investments","Finance & Investments ","$1.5 B","$1.5 B","$1.1 B",NA,"$1.1 B",NA,NA,NA
"2033",1929,"Dragos Paval ",55,"Romania","retail","Fashion & Retail ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2034",1929,"Zach Perret ",34,"United States","fintech","Finance & Investments ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2035",1929,"Karl-Johan Persson ",47,"Sweden","H&M","Fashion & Retail ","$1.5 B","$2.3 B","$1.1 B",NA,"$1.6 B","$2.10 B","$2.40 B","$3.00 B"
"2036",1929,"Markus Persson ",42,"Sweden","computer games","Media & Entertainment ","$1.5 B","$1.7 B","$1.6 B",NA,"$1.4 B","$1.40 B","$1.30 B","$1.30 B"
"2037",1929,"Tom Persson ",37,"Sweden","H&M","Fashion & Retail ","$1.5 B","$2.3 B","$1.1 B",NA,"$1.6 B","$2.10 B","$2.40 B","$3.00 B"
"2038",1929,"Kevin Plank ",49,"United States","Under Armour","Fashion & Retail ","$1.5 B","$2 B","$1.1 B",NA,"$1.5 B","$2.00 B","$3.20 B","$3.10 B"
"2039",1929,"Andreas Pohl ",57,"Germany","mutual funds","Finance & Investments ","$1.5 B","$1.4 B","$1.2 B",NA,"$1.3 B",NA,NA,"$1.00 B"
"2040",1929,"Reinfried Pohl, Jr. ",62,"Germany","mutual funds","Finance & Investments ","$1.5 B","$1.4 B","$1.2 B",NA,"$1.3 B",NA,NA,"$1.00 B"
"2041",1929,"Michael Polsky ",73,"United States","Electric power","Energy ","$1.5 B","$1.5 B",NA,NA,NA,NA,NA,NA
"2042",1929,"Qin Long ",56,"China","tire","Manufacturing ","$1.5 B","$1.8 B",NA,NA,NA,NA,NA,NA
"2043",1929,"G. M. Rao ",71,"India","infrastructure","Logistics ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2044",1929,"Mike Repole ",54,"United States","sports drink","Food & Beverage ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2045",1929,"Fernando Roig ",74,"Spain","supermarkets","Fashion & Retail ","$1.5 B","$1.7 B","$1.3 B",NA,"$1.4 B","$1.30 B","$1.30 B","$1.20 B"
"2046",1929,"Christopher Rokos ",51,"United Kingdom","hedge fund","Finance & Investments ","$1.5 B","$1.9 B","$1 B",NA,NA,NA,NA,NA
"2047",1929,"Fayez Sarofim ",93,"United States","money management","Finance & Investments ","$1.5 B","$1.5 B","$1.1 B",NA,"$1.5 B","$1.60 B","$1.40 B","$2.20 B"
"2048",1929,"Antonio Luiz Seabra ",79,"Brazil","cosmetics","Fashion & Retail ","$1.5 B","$2.4 B","$1.6 B",NA,"$1.5 B","$1.30 B",NA,"$1.40 B"
"2049",1929,"Amnon Shashua ",61,"Israel","automotive technology","Automotive ","$1.5 B","$1.4 B",NA,NA,NA,NA,NA,NA
"2050",1929,"Yuri Shefler ",54,"Russia","alcohol","Food & Beverage ","$1.5 B","$2.6 B","$1.6 B",NA,"$1.5 B","$1.60 B","$1.90 B","$1.80 B"
"2051",1929,"Mikhail Shelkov ",53,"Russia","titanium","Metals & Mining ","$1.5 B","$2 B","$1 B",NA,"$1.2 B",NA,NA,NA
"2052",1929,"Charlotte Soderstrom ",45,"Sweden","H&M","Fashion & Retail ","$1.5 B","$2.3 B","$1.1 B",NA,"$1.6 B","$2.20 B","$2.40 B","$3.00 B"
"2053",1929,"Edwin Soeryadjaya ",72,"Indonesia","coal, investments","Energy ","$1.5 B",NA,NA,NA,NA,NA,NA,"$1.20 B"
"2054",1929,"Thomas Steyer ",64,"United States","hedge funds","Finance & Investments ","$1.5 B","$1.4 B","$1.6 B",NA,"$1.6 B","$1.60 B","$1.60 B","$1.60 B"
"2055",1929,"Kevin Systrom ",38,"United States","Instagram","Technology ","$1.5 B","$1.9 B","$1.3 B",NA,"$1.5 B","$1.20 B",NA,NA
"2056",1929,"Tang Binsen ",39,"China","beverages","Food & Beverage ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2057",1929,"Hary Tanoesoedibjo ",56,"Indonesia","media, real estate","Media & Entertainment ","$1.5 B","$1.1 B",NA,NA,"$1.1 B","$1.10 B",NA,"$1.40 B"
"2058",1929,"Jonathan Tisch ",68,"United States","insurance, NFL team","Diversified ","$1.5 B","$1.4 B","$1.4 B",NA,"$1.5 B",NA,NA,NA
"2059",1929,"Wilma Tisch ",94,"United States","diversified","Finance & Investments ","$1.5 B","$1.4 B","$1.2 B",NA,"$1.3 B","$1.40 B","$1.30 B","$1.50 B"
"2060",1929,"Kenny Troutt ",74,"United States","telecom","Telecom ","$1.5 B","$1.5 B","$1.5 B",NA,"$1.4 B","$1.40 B","$1.30 B","$1.50 B"
"2061",1929,"Thomas von Koch ",56,"Sweden","asset management","Finance & Investments ","$1.5 B","$1.2 B",NA,NA,NA,NA,NA,NA
"2062",1929,"Junjin Wang ",53,"China","airline","Service ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2063",1929,"Wang Zelong ",25,"China","chemicals","Metals & Mining ","$1.5 B","$1.5 B",NA,NA,NA,NA,NA,NA
"2064",1929,"Myron Wentz ",82,"St. Kitts and Nevis","health products","Fashion & Retail ","$1.5 B","$1.6 B","$1.1 B",NA,"$1.1 B",NA,NA,NA
"2065",1929,"Kaiting Wu ",52,"Hong Kong","electronics","Telecom ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2066",1929,"Xiong Wu ",46,"China","software","Technology ","$1.5 B","$2.8 B","$1.8 B",NA,NA,NA,NA,NA
"2067",1929,"Xu Wanmao ",77,"China","education","Service ","$1.5 B","$1.5 B","$1 B",NA,NA,NA,NA,NA
"2068",1929,"Xu Zhenhua ",64,"China","online games","Media & Entertainment ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2069",1929,"Xue Jiping ",71,"China","cable","Telecom ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2070",1929,"Yang Jian ",50,"China","real estate","Real Estate ","$1.5 B","$2.2 B","$1.8 B",NA,NA,NA,NA,NA
"2071",1929,"Justin Yuan ",64,"China","online games","Media & Entertainment ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2072",1929,"Xinghai Zhang & family ",59,"China","machinery","Manufacturing ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2073",1929,"Xuansong Zhang ",50,"China","supermarkets","Fashion & Retail ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2074",1929,"Zhang Yin ",65,"China","paper manufacturing","Manufacturing ","$1.5 B","$2.3 B","$1.3 B",NA,NA,NA,NA,NA
"2075",1929,"Chengjian Zhou ",56,"China","fashion retail","Fashion & Retail ","$1.5 B",NA,NA,NA,NA,NA,NA,NA
"2076",2076,"Radhe Shyam Agarwal ",77,"India","consumer goods","Fashion & Retail ","$1.4 B","$1.1 B",NA,NA,"$1.6 B","$1.40 B","$1.30 B","$1.40 B"
"2077",2076,"Syed Mokhtar AlBukhary ",70,"Malaysia","engineering, automotive","Construction & Engineering ","$1.4 B","$1.2 B",NA,NA,"$1.9 B","$1.80 B","$1.50 B","$2.90 B"
"2078",2076,"Nerio Alessandri ",60,"Italy","gym equipment","Manufacturing ","$1.4 B","$1.3 B",NA,NA,NA,NA,NA,NA
"2079",2076,"Patricia Angelini Rossi ",68,"Chile","forestry, mining","Diversified ","$1.4 B","$1.6 B","$1 B",NA,"$2.1 B","$1.30 B",NA,"$1.30 B"
"2080",2076,"Tope Awotona ",40,"United States","software","Technology ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2081",2076,"Elena Baturina ",59,"Russia","investments, real estate","Construction & Engineering ","$1.4 B","$1.3 B","$1.3 B",NA,"$1.2 B","$1.00 B","$1.10 B","$1.00 B"
"2082",2076,"Sabrina Benetton ",48,"Italy","fashion retail, investments","Fashion & Retail ","$1.4 B","$1.7 B","$1.1 B",NA,NA,NA,NA,NA
"2083",2076,"Thomas Bruch ",71,"Germany","retail","Fashion & Retail ","$1.4 B","$1.1 B",NA,NA,"$1.9 B","$1.30 B","$1.80 B","$1.40 B"
"2084",2076,"Marina Budiman ",60,"Indonesia","data centers","Technology ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2085",2076,"Stewart Butterfield ",49,"Canada","messaging software","Technology ","$1.4 B","$1.7 B",NA,NA,NA,NA,NA,NA
"2086",2076,"Richard Chang ",75,"Taiwan","real estate, electronics","Real Estate ","$1.4 B","$1.7 B",NA,NA,"$1 B","$1.10 B",NA,"$1.30 B"
"2087",2076,"Chen Tianqiao ",48,"China","online games","Technology ","$1.4 B","$1.2 B",NA,NA,"$1.4 B",NA,NA,"$1.20 B"
"2088",2076,"Chen Wenyuan & family ",54,"China","testing equipment","Technology ","$1.4 B","$1.7 B","$1.8 B",NA,NA,NA,NA,NA
"2089",2076,"Cheng Antares ",64,"Hong Kong","liquor","Food & Beverage ","$1.4 B","$1.1 B",NA,NA,NA,NA,NA,NA
"2090",2076,"Chin Jong Hwa ",63,"Taiwan","auto parts","Automotive ","$1.4 B","$2.2 B","$1.3 B",NA,"$2.5 B","$1.60 B",NA,"$1.00 B"
"2091",2076,"Cho Jyh-jer ",64,"Taiwan","semiconductors","Technology ","$1.4 B","$1.3 B",NA,NA,NA,NA,NA,NA
"2092",2076,"Jim Crane ",68,"United States","logistics, baseball","Sports ","$1.4 B","$1.4 B","$1.3 B",NA,NA,NA,NA,NA
"2093",2076,"Thierry Cruanes ",54,"United States","software","Technology ","$1.4 B","$1.9 B",NA,NA,NA,NA,NA,NA
"2094",2076,"Benoit Dageville ",55,"United States","software","Technology ","$1.4 B","$1.9 B",NA,NA,NA,NA,NA,NA
"2095",2076,"Weili Dai ",60,"United States","semiconductors","Technology ","$1.4 B","$1.1 B",NA,NA,NA,NA,NA,NA
"2096",2076,"Darwin Deason ",81,"United States","software","Service ","$1.4 B","$1.4 B","$1.3 B",NA,"$1.3 B","$1.20 B","$1.40 B","$1.50 B"
"2097",2076,"Diego Della Valle ",68,"Italy","shoes","Fashion & Retail ","$1.4 B","$1.2 B","$1.1 B",NA,"$1.8 B","$1.60 B","$1.60 B","$1.80 B"
"2098",2076,"Deng Yingzhong ",71,"China","paper","Manufacturing ","$1.4 B","$2.3 B","$1.4 B",NA,NA,NA,NA,NA
"2099",2076,"Ding Shui Po ",51,"China","sneakers, sportswear","Fashion & Retail ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2100",2076,"Mark Dixon ",62,"United Kingdom","office real estate","Real Estate ","$1.4 B","$1.9 B",NA,NA,"$1.2 B","$1.10 B","$1.30 B","$1.20 B"
"2101",2076,"Du Shuanghua ",57,"China","steel","Manufacturing ","$1.4 B","$1.3 B","$1.1 B",NA,NA,NA,NA,NA
"2102",2076,"Mukand Lal Dua ",73,"India","footwear","Fashion & Retail ","$1.4 B","$1 B",NA,NA,NA,NA,NA,NA
"2103",2076,"Ramesh Kumar Dua ",68,"India","footwear","Fashion & Retail ","$1.4 B","$1 B",NA,NA,NA,NA,NA,NA
"2104",2076,"Fan Minhua ",60,"China","pharmaceuticals","Healthcare ","$1.4 B","$1.3 B","$1 B",NA,NA,NA,NA,NA
"2105",2076,"Hongbo Fang ",55,"China","home appliances","Manufacturing ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2106",2076,"William Foley, II. ",77,"United States","financial services★","Finance & Investments ","$1.4 B","$1.9 B",NA,NA,NA,NA,NA,NA
"2107",2076,"Jayme Garfinkel & family ",76,"Brazil","insurance","Finance & Investments ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2108",2076,"Radhe Shyam Goenka ",76,"India","consumer goods","Fashion & Retail ","$1.4 B","$1.1 B",NA,NA,"$1.6 B","$1.40 B","$1.30 B","$1.40 B"
"2109",2076,"Maggie Hardy Knox ",56,"United States","building materials","Service ","$1.4 B","$2.9 B","$1.4 B",NA,NA,NA,NA,NA
"2110",2076,"Ayman Hariri ",43,"Lebanon","construction, investments","Construction & Engineering ","$1.4 B","$1.3 B","$1.3 B",NA,"$1.3 B",NA,"$1.20 B","$1.10 B"
"2111",2076,"Christoph Henkel ",64,"Germany","consumer goods","Fashion & Retail ","$1.4 B","$1.7 B","$1.2 B",NA,"$2 B","$1.80 B","$1.50 B","$1.70 B"
"2112",2076,"Daniel Hirschfeld ",80,"United States","fashion retail","Fashion & Retail ","$1.4 B","$1.4 B",NA,NA,NA,NA,"$1.00 B","$1.30 B"
"2113",2076,"William Hockey ",32,"United States","fintech","Finance & Investments ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2114",2076,"Huang Guanlin ",57,"China","textiles, apparel","Fashion & Retail ","$1.4 B","$2.2 B","$1.1 B",NA,NA,NA,NA,NA
"2115",2076,"Huang Xiaofen & family ",60,"China","printed circuit boards","Technology ","$1.4 B","$1.4 B","$1.5 B",NA,NA,NA,NA,NA
"2116",2076,"Jay-Z ",52,"United States","Multiple","Media & Entertainment ","$1.4 B","$1.4 B","$1 B",NA,NA,NA,NA,NA
"2117",2076,"Yintai Jiang & family ",71,"China","auto parts","Automotive ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2118",2076,"Johan Johannson ",55,"Norway","grocery stores","Fashion & Retail ","$1.4 B","$1.4 B",NA,NA,"$4.4 B","$3.30 B","$2.50 B","$3.10 B"
"2119",2076,"Ramesh Juneja ",66,"India","pharmaceuticals","Healthcare ","$1.4 B",NA,NA,NA,"$2 B",NA,NA,NA
"2120",2076,"Scott Kapnick ",63,"United States","private equity","Finance & Investments ","$1.4 B","$1.4 B","$1.4 B",NA,NA,NA,NA,NA
"2121",2076,"Viktor Kharitonin ",49,"Russia","pharmaceuticals","Healthcare ","$1.4 B","$3.4 B","$2.3 B",NA,"$1.4 B","$1.20 B","$1.00 B",NA
"2122",2076,"Kim Jun-ki ",77,"South Korea","diversified","Diversified ","$1.4 B","$1.5 B",NA,NA,"$1.7 B","$1.20 B",NA,NA
"2123",2076,"Kim Sang-yeol ",61,"South Korea","construction","Construction & Engineering ","$1.4 B","$1.7 B","$1.2 B",NA,NA,NA,NA,NA
"2124",2076,"Christine Knauf ",64,"Germany","building materials","Manufacturing ","$1.4 B","$1.4 B",NA,NA,NA,NA,NA,NA
"2125",2076,"Karl Knauf ",64,"Germany","building materials","Manufacturing ","$1.4 B","$1.4 B",NA,NA,NA,NA,NA,NA
"2126",2076,"Yogesh Kothari ",73,"India","specialty chemicals","Manufacturing ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2127",2076,"Kurt Krieger ",74,"Germany","furniture retailing","Fashion & Retail ","$1.4 B","$1.9 B","$2.3 B",NA,"$3.2 B","$2.90 B","$2.30 B",NA
"2128",2076,"Mustafa Kucuk ",58,"Turkey","fashion retail","Fashion & Retail ","$1.4 B","$2.1 B","$1.7 B",NA,"$2.7 B","$1.90 B","$2.00 B",NA
"2129",2076,"Sebastian Kulczyk ",41,"Poland","diversified","Finance & Investments ","$1.4 B","$1.6 B","$1.3 B",NA,NA,NA,NA,NA
"2130",2076,"Gary Lauder ",59,"United States","Estée Lauder","Fashion & Retail ","$1.4 B","$1.5 B",NA,NA,NA,NA,NA,NA
"2131",2076,"Art Levinson ",72,"United States","Genentech, Apple","Diversified ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2132",2076,"Li Li ",58,"China","pharmaceuticals","Healthcare ","$1.4 B","$1.6 B","$1.6 B",NA,"$1.6 B","$1.60 B","$1.50 B","$1.50 B"
"2133",2076,"Guangwei Liang ",58,"China","conglomerate","Manufacturing ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2134",2076,"Scott Lin ",89,"Taiwan","optical components","Technology ","$1.4 B","$2.2 B","$2.2 B",NA,"$2.2 B","$2.60 B","$1.30 B","$1.50 B"
"2135",2076,"Jenny Lindén Urnes ",51,"Sweden","powdered metal","Manufacturing ","$1.4 B","$1.6 B",NA,NA,"$1.1 B",NA,NA,NA
"2136",2076,"Anatoly Lomakin ",69,"Russia","investments","Metals & Mining ","$1.4 B","$1.4 B","$1.4 B",NA,"$1.4 B","$1.40 B","$1.40 B","$1.40 B"
"2137",2076,"Jeffrey Lorberbaum ",67,"United States","flooring","Manufacturing ","$1.4 B","$2 B",NA,NA,"$2.5 B","$2.20 B","$1.70 B","$1.80 B"
"2138",2076,"Gary Magness ",68,"United States","cable TV, investments","Media & Entertainment ","$1.4 B","$1.6 B","$1.1 B",NA,"$1.4 B","$1.40 B","$1.40 B","$1.50 B"
"2139",2076,"Zhongwu Mao ",59,"China","manufacturing","Manufacturing ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2140",2076,"Ilson Mateus & family ",59,"Brazil","supermarkets","Fashion & Retail ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2141",2076,"Vadim Moshkovich ",54,"Russia","agriculture, land","Food & Beverage ","$1.4 B","$2.4 B","$1.7 B",NA,"$2 B","$2.30 B","$2.30 B","$1.90 B"
"2142",2076,"Jerry Moyes & family ",78,"United States","transportation","Logistics ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2143",2076,"George Alexander Muthoot ",66,"India","financial services","Finance & Investments ","$1.4 B","$1.3 B",NA,NA,NA,NA,NA,NA
"2144",2076,"George Jacob Muthoot ",69,"India","financial services","Finance & Investments ","$1.4 B","$1.3 B",NA,NA,NA,NA,NA,NA
"2145",2076,"George Thomas Muthoot ",71,"India","financial services","Finance & Investments ","$1.4 B","$1.3 B",NA,NA,NA,NA,NA,NA
"2146",2076,"Sara George Muthoot ",61,"India","financial services","Finance & Investments ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2147",2076,"Marius Nacht ",56,"Israel","software","Technology ","$1.4 B","$1.5 B","$1.4 B",NA,"$1.6 B","$2.20 B","$1.70 B","$1.80 B"
"2148",2076,"Adam Neumann ",43,"Israel","WeWork","Real Estate ","$1.4 B",NA,NA,NA,"$2.5 B","$2.50 B","$1.50 B",NA
"2149",2076,"Simon Nixon ",54,"United Kingdom","price comparison website","Technology ","$1.4 B","$1.2 B","$1 B",NA,"$1.1 B","$1.00 B",NA,NA
"2150",2076,"Stefan Olsson ",73,"Sweden","diversified","Diversified ","$1.4 B","$1.9 B","$1.5 B",NA,"$2.8 B","$2.30 B","$2.40 B","$2.50 B"
"2151",2076,"Ranjan Pai ",49,"India","education","Service ","$1.4 B","$1.3 B","$1.5 B",NA,"$1.9 B","$1.70 B","$1.70 B","$1.70 B"
"2152",2076,"Antonio Percassi ",68,"Italy","real estate, diversified","Diversified ","$1.4 B","$1.3 B","$1 B",NA,NA,NA,NA,NA
"2153",2076,"Mark Pincus ",56,"United States","online games","Technology ","$1.4 B","$1.5 B","$1.2 B",NA,"$1.5 B","$1.20 B","$1.00 B",NA
"2154",2076,"Alexey Repik ",42,"Russia","pharmaceuticals","Healthcare ","$1.4 B","$2.6 B","$2.1 B",NA,"$2.1 B",NA,NA,NA
"2155",2076,"Matthew Roszak ",49,"United States","cryptocurrency","Finance & Investments ","$1.4 B","$1.5 B",NA,NA,NA,NA,NA,NA
"2156",2076,"Subhash Runwal ",78,"India","real estate","Real Estate ","$1.4 B","$1.6 B","$1.3 B",NA,"$1.4 B",NA,NA,"$1.00 B"
"2157",2076,"Carlos Sanchez ",60,"Brazil","generic drugs","Healthcare ","$1.4 B","$2.5 B","$1.9 B",NA,"$2.5 B","$1.80 B","$1.70 B","$2.50 B"
"2158",2076,"Martin Selig ",84,"United States","real estate","Real Estate ","$1.4 B","$1.4 B","$1.6 B",NA,"$1 B","$1.00 B","$1.10 B",NA
"2159",2076,"Bhadresh Shah ",70,"India","engineering","Manufacturing ","$1.4 B","$1.6 B","$1.2 B",NA,"$1.3 B","$1.40 B",NA,"$1.00 B"
"2160",2076,"Shao Jianxiong ",64,"China","photovoltaics","Energy ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2161",2076,"Shu Ping ",52,"Singapore","restaurants","Food & Beverage ","$1.4 B","$5.5 B","$2.7 B","$4.92 B",NA,NA,NA,NA
"2162",2076,"Ben Silbermann ",39,"United States","social media","Media & Entertainment ","$1.4 B","$3.9 B",NA,NA,"$1.6 B","$1.60 B","$1.60 B",NA
"2163",2076,"Jared Smith ",47,"United States","cloud computing","Technology ","$1.4 B","$1.3 B","$1.2 B",NA,NA,NA,NA,NA
"2164",2076,"Sun Qinghuan ",48,"China","lighting","Technology ","$1.4 B","$1.5 B",NA,NA,"$1.3 B","$1.80 B","$1.00 B","$1.10 B"
"2165",2076,"Denis Sverdlov ",43,"Russia","electric vehicles","Automotive ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2166",2076,"Prachak Tangkaravakoon ",78,"Thailand","paints","Manufacturing ","$1.4 B","$1.6 B","$1.4 B",NA,NA,NA,NA,NA
"2167",2076,"Lina Tombolato ",74,"Italy","financial services","Finance & Investments ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2168",2076,"Tong Jinquan ",67,"China","real estate","Real Estate ","$1.4 B","$2.7 B","$2.2 B",NA,"$2.4 B","$4.40 B","$4.40 B","$4.70 B"
"2169",2076,"Luiza Helena Trajano ",70,"Brazil","retail chain","Fashion & Retail ","$1.4 B","$5.3 B","$1.7 B",NA,NA,NA,NA,NA
"2170",2076,"John Van Lieshout ",76,"Australia","real estate","Real Estate ","$1.4 B","$1.5 B","$1.2 B",NA,"$1.2 B","$1.20 B",NA,NA
"2171",2076,"Vardis Vardinoyannis & family ",89,"Greece","oil and gas","Energy ","$1.4 B","$1.4 B","$1 B",NA,NA,NA,NA,NA
"2172",2076,"Jens von Bahr ",51,"Sweden","gambling products","Gambling & Casinos ","$1.4 B",NA,NA,NA,NA,NA,NA,NA
"2173",2076,"Wang Fuji ",64,"China","pharmaceuticals","Healthcare ","$1.4 B","$1.2 B",NA,NA,NA,NA,NA,NA
"2174",2076,"Wang Jian ",68,"China","healthcare services","Technology ","$1.4 B","$1.9 B",NA,NA,"$3.1 B",NA,NA,NA
"2175",2076,"Werner O. Weber ",83,"Switzerland","electronic components","Manufacturing ","$1.4 B","$1.4 B",NA,NA,NA,NA,NA,NA
"2176",2076,"Wei Lidong & family ",46,"China","software","Technology ","$1.4 B","$1.8 B",NA,NA,NA,NA,NA,NA
